date,inflacion
2019-01-01,-0.06
2019-01-15,0.11
2019-02-01,0.01
2019-02-15,-0.1
2019-03-01,0.14
2019-03-15,0.26
2019-04-01,0.12
2019-04-15,-0.03
2019-05-01,0.06
2019-05-15,-0.3
2019-06-01,-0.03
2019-06-15,0.01
2019-07-01,0.14
2019-07-15,0.27
2019-08-01,0.06
2019-08-15,-0.08
2019-09-01,0.05
2019-09-15,0.17
2019-10-01,0.13
2019-10-15,0.4
2019-11-01,0.16
2019-11-15,0.68
2019-12-01,0.09
2019-12-15,0.35
2020-01-01,0.32
2020-01-15,0.27
2020-02-01,0.11
2020-02-15,0.12
2020-03-01,0.47
2020-03-15,0.11
2020-04-01,-0.78
2020-04-15,-0.72
2020-05-01,0.19
2020-05-15,0.3
2020-06-01,-0.01
2020-06-15,0.32
2020-07-01,0.47
2020-07-15,0.36
2020-08-01,0.14
2020-08-15,0.24
2020-09-01,0.17
2020-09-15,0.16
2020-10-01,-0.03
2020-10-15,0.54
2020-11-01,0.16
2020-11-15,0.04
2020-12-01,-0.1
2020-12-15,0.34
2021-01-01,0.19
2021-01-15,0.51
2021-02-01,0.5
2021-02-15,0.23
2021-03-01,0.31
2021-03-15,0.53
2021-04-01,0.28
2021-04-15,0.06
2021-05-01,0.25
2021-05-15,-0.01
2021-06-01,0.17
2021-06-15,0.34
2021-07-01,0.2
2021-07-15,0.37
2021-08-01,0.24
2021-08-15,-0.02
2021-09-01,0.18
2021-09-15,0.42
2021-10-01,0.21
2021-10-15,0.54
2021-11-01,0.38
2021-11-15,0.69
2021-12-01,0.51
2021-12-15,0.1
2022-01-01,0.01
2022-01-15,0.39
2022-02-01,0.39
2022-02-15,0.42
2022-03-01,0.42
2022-03-15,0.48
2022-04-01,0.59
2022-04-15,0.16
2022-05-01,0.18
2022-05-15,-0.06
2022-06-01,0.3
2022-06-15,0.49
2022-07-01,0.39
2022-07-15,0.43
2022-08-01,0.23
2022-08-15,0.42
2022-09-01,0.32
2022-09-15,0.41
2022-10-01,0.1
2022-10-15,0.44
2022-11-01,0.15
2022-11-15,0.56
2022-12-01,-0.11
2022-12-15,0.39
2023-01-01,0.1
2023-01-15,0.46
2023-02-01,0.35
2023-02-15,0.3
2023-03-01,0.16
2023-03-15,0.15
2023-04-01,0.07
2023-04-15,-0.16
2023-05-01,0.21
2023-05-15,-0.32
2023-06-01,-0.01
2023-06-15,0.02
2023-07-01,0.16
2023-07-15,0.29
2023-08-01,0.21
2023-08-15,0.32
2023-09-01,0.26
2023-09-15,0.25
2023-10-01,0.13
2023-10-15,0.24
2023-11-01,0.13
2023-11-15,0.63
2023-12-01,-0.1
2023-12-15,0.52
2024-01-01,0.48
2024-01-15,0.49
2024-02-01,0.32
2024-02-15,-0.1
2024-03-01,0.06
2024-03-15,0.27
2024-04-01,-0.03
2024-04-15,0.09
2024-05-01,0.25
2024-05-15,-0.21
2024-06-01,-0.2
2024-06-15,0.21
2024-07-01,0.53
2024-07-15,0.71
2024-08-01,0.14
